Team,Year,Week,Offense DVOA,Weighted Offense DVOA,Defense DVOA,Weighted Defense DVOA,ST DVOA,Weighted ST DVOA
JAC,2014,7,-28.70%,-28.60%,-1.40%,-1.80%,-2.40%,-2.40%
TB,2014,7,-25.80%,-25.20%,15.00%,15.10%,-8.20%,-8.00%
DEN,2014,8,31.80%,31.90%,-17.50%,-17.60%,-1.70%,-1.70%
BAL,2014,8,11.30%,11.10%,-10.70%,-10.90%,4.00%,4.10%
SEA,2014,8,8.30%,7.80%,-10.20%,-10.10%,0.30%,0.30%
KC,2014,8,5.10%,5.10%,-5.20%,-5.30%,4.80%,4.90%
GB,2014,8,14.90%,14.80%,1.80%,1.80%,1.90%,1.80%
PHI,2014,8,-3.70%,-3.70%,-6.00%,-6.00%,10.10%,10.10%
IND,2014,8,9.70%,9.70%,3.70%,3.60%,4.90%,5.00%
PIT,2014,8,15.90%,16.00%,8.40%,8.20%,2.50%,2.50%
SD,2014,8,16.60%,16.70%,9.20%,9.30%,1.40%,1.40%
MIA,2014,8,5.20%,5.40%,-11.90%,-11.90%,-8.40%,-8.30%
DAL,2014,8,12.90%,12.90%,2.90%,2.80%,-1.50%,-1.60%
NE,2014,8,7.50%,8.00%,5.40%,5.60%,4.90%,5.00%
CIN,2014,8,0.30%,-0.20%,-3.10%,-2.80%,3.30%,3.40%
DET,2014,8,-10.80%,-11.10%,-23.60%,-23.70%,-6.60%,-6.60%
NO,2014,8,18.00%,18.00%,13.70%,13.30%,1.20%,1.20%
BUF,2014,8,-16.60%,-16.70%,-13.70%,-13.80%,6.10%,6.00%
CLE,2014,8,2.90%,2.50%,3.40%,3.20%,0.10%,0.20%
ARI,2014,8,-10.30%,-10.40%,-8.10%,-8.00%,1.30%,1.20%
ATL,2014,8,9.10%,8.70%,15.40%,15.40%,3.90%,3.90%
SF,2014,8,-3.10%,-3.20%,-4.40%,-4.30%,-4.90%,-4.80%
NYG,2014,8,-2.30%,-2.50%,0.30%,0.50%,-1.90%,-1.90%
HOU,2014,8,-2.50%,-2.40%,-2.50%,-2.40%,-4.80%,-4.80%
WAS,2014,8,-2.20%,-2.40%,-1.20%,-1.30%,-5.50%,-5.30%
CHI,2014,8,3.30%,3.20%,5.80%,5.90%,-6.10%,-6.20%
TEN,2014,8,-3.70%,-3.30%,5.90%,6.00%,-1.00%,-0.90%
CAR,2014,8,-2.70%,-2.80%,11.10%,11.00%,-1.00%,-1.00%
NYJ,2014,8,-21.30%,-21.30%,1.30%,1.30%,3.30%,3.40%
OAK,2014,8,-16.00%,-15.60%,6.40%,6.50%,3.10%,3.10%
MIN,2014,8,-27.70%,-28.00%,-0.90%,-1.10%,2.40%,2.40%
STL,2014,8,-8.60%,-8.40%,14.00%,13.90%,-2.00%,-2.10%
JAC,2014,8,-27.10%,-26.90%,-3.90%,-4.30%,-2.90%,-2.90%
TB,2014,8,-26.50%,-26.20%,12.80%,12.90%,-4.60%,-4.60%
DEN,2014,9,26.60%,26.30%,-15.60%,-15.40%,-5.30%,-5.30%
BAL,2014,9,8.80%,8.80%,-6.50%,-6.70%,7.70%,8.70%
MIA,2014,9,6.70%,6.90%,-19.30%,-18.90%,-6.20%,-6.20%
SEA,2014,9,8.10%,6.40%,-12.20%,-11.70%,-2.80%,-3.00%
GB,2014,9,16.90%,17.20%,2.10%,1.80%,1.90%,1.90%
